Year,Sort order,Country,Notes,Code,Type of data (a),Immigrants
1990,1990126,Saudi Arabia,,682,C R,4998445
1990,1990127,West Bank and Gaza Strip,12,275,B,288332
1990,1990128,Syria,,760,C R,714140
1990,1990129,Turkey,,792,B R,1163686
1990,1990130,United Arab Emirates,,784,C R,1306574
1990,1990131,Yemen,,887,CR,118863
1990,1990132,EUROPE,,908,,49232191
1990,1990133,Eastern Europe,,923,,21995312
1990,1990134,Belarus,,112,B,1248977
1990,1990135,Bulgaria,,100,B,21510
1990,1990136,Czechia,,203,C,110394
1990,1990137,Hungary,,348,B R,347510
1990,1990138,Poland,,616,B,1127771
1990,1990139,Moldova,13,498,B,544162
1990,1990140,Romania,,642,B,135825
1990,1990141,Russia,,643,B,11524948
1990,1990142,Slovakia,,703,B,41295
1990,1990143,Ukraine,14,804,B,6892920
1990,1990144,Northern Europe,,924,,6645605
1990,1990145,Channel Islands,15,830,B,61660
1990,1990146,Denmark,,208,B,235189
1990,1990147,Estonia,,233,B,381997
1990,1990148,Faeroe Islands,,234,B,4285
1990,1990149,Finland,16,246,B,63255
1990,1990150,Iceland,,352,B,9584
1990,1990151,Ireland,,372,B,227961
1990,1990152,Isle of Man,,833,B,34769
1990,1990153,Latvia,,428,B,646007
1990,1990154,Lithuania,,440,B,349258
1990,1990155,Norway,17,578,B,192587
1990,1990156,Sweden,,752,B,788767
1990,1990157,United Kingdom,,826,B,3650286
1990,1990158,Southern Europe,,925,,4340454
1990,1990159,Albania,,8,B,66013
1990,1990160,Andorra,,20,C,38904
1990,1990161,Bosnia-Herzegovina,,70,I R,56000
1990,1990162,Croatia,,191,B R,475438
1990,1990163,Gibraltar,,292,B,8709
1990,1990164,Greece,,300,B,618139
1990,1990165,Holy See,18,336,I,768
1990,1990166,Italy,,380,B,1428221
1990,1990167,Malta,,470,B,15077
1990,1990168,Montenegro,,499,B,..
1990,1990169,Portugal,,620,B,435782
1990,1990170,San Marino,,674,C,3310
1990,1990171,Serbia,19,688,B,99269
1990,1990172,Slovenia,,705,B,178077
1990,1990173,Spain,20,724,B,821605
1990,1990174,Macedonia,21,807,B,95142
1990,1990175,Western Europe,,926,,16250820
1990,1990176,Austria,,40,B,793239
1990,1990177,Belgium,,56,C,904528
1990,1990178,France,,250,B,5897267
1990,1990179,Germany,,276,B,5936181
1990,1990180,Liechtenstein,,438,B,10906
1990,1990181,Luxembourg,,442,B,113795
1990,1990182,Monaco,,492,B,20359
1990,1990183,Netherlands,,528,B,1182263
1990,1990184,Switzerland,,756,B,1392282
1990,1990185,LATIN AMERICA AND THE CARIBBEAN,,904,,7169728
1990,1990186,Caribbean,,915,,1056555
1990,1990187,Anguilla,,660,B,2570
1990,1990188,Antigua and Barbuda,,28,B,12029
1990,1990189,Aruba,,533,B,14444
1990,1990190,Bahamas,,44,B,26855
1990,1990191,Barbados,,52,B,24024
1990,1990192,British Virgin Islands,,92,B,8035
1990,1990193,Caribbean Netherlands,22,535,B,38410
1990,1990194,Cayman Islands,,136,C,9387
1990,1990195,Cuba,,192,B,34555
1990,1990196,Curaçao,,531,B,..
1990,1990197,Dominica,,212,B,2519
1990,1990198,Dominican Republic,,214,B,291151
1990,1990199,Grenada,,308,B,4263
1990,1990200,Guadeloupe,23,312,B,65944
1990,1990201,Haiti,,332,B,19084
1990,1990202,Jamaica,,388,B,20475
1990,1990203,Martinique,,474,B,38705
1990,1990204,Montserrat,,500,B,2013
1990,1990205,Puerto Rico,,630,B,321909
1990,1990206,St. Kitts and Nevis,,659,B,3210
1990,1990207,St. Lucia,,662,B,5305
1990,1990208,St. Vincent and the Grenadines,,670,B,3970
1990,1990209,St. Martin,,534,B,..
1990,1990210,Trinidad and Tobago,,780,B,50666
1990,1990211,Turks and Caicos Islands,,796,B,5062
1990,1990212,Virgin Islands (U.S.),,850,B,51970
1990,1990213,Central America,,916,,1829911
1990,1990214,Belize,,84,B R ,30404
1990,1990215,Costa Rica,,188,B R,417628
1990,1990216,El Salvador,,222,B R,47360
1990,1990217,Guatemala,,320,B R,264257
1990,1990218,Honduras,,340,B R,270423
1990,1990219,Mexico,,484,B R,695674
1990,1990220,Nicaragua,,558,B R,41421
1990,1990221,Panama,,591,B,62744
1990,1990222,South America,,931,,4283262
1990,1990223,Argentina,,32,B,1649919
1990,1990224,Bolivia,,68,B,73758
1990,1990225,Brazil,,76,B,798517
1990,1990226,Chile,,152,B,107501
1990,1990227,Colombia,,170,B,104277
1990,1990228,Ecuador,,218,B R,78663
1990,1990229,Falkland Islands (Malvinas),,238,B,855
1990,1990230,French Guiana,,254,B,63612
1990,1990231,Guyana,,328,B,4095
1990,1990232,Paraguay,,600,B,195884
1990,1990233,Peru,,604,B,65025
1990,1990234,Suriname,,740,C,18031
1990,1990235,Uruguay,,858,B,98116
1990,1990236,Venezuela,,862,B,1025009
1990,1990237,NORTHERN AMERICA,,905,,27610542
1990,1990238,Bermuda,,60,B,15683
1990,1990239,Canada,,124,B,4333318
1990,1990240,Greenland,,304,B,9416
1990,1990241,St. Pierre and Miquelon,,666,B,1099
1990,1990242,United States,,840,B,23251026
1990,1990243,OCEANIA,,909,,4730858
1990,1990244,Australia/New Zealand,,927,,4473260
1990,1990245,Australia,24,36,B,3955213
1990,1990246,New Zealand,,554,B,518047
1990,1990247,Melanesia,,928,,90210
1990,1990248,Fiji,,242,B,13283
1990,1990249,New Caledonia,,540,B,37673
1990,1990250,Papua New Guinea,,598,C R,32720
1990,1990251,Solomon Islands,,90,B,4226
1990,1990252,Vanuatu,,548,B,2308
1990,1990253,Micronesia,,954,,108969
1990,1990254,Guam,,316,B,69755
1990,1990255,Kiribati,,296,B,2162
1990,1990256,Marshall Islands,,584,B,1158
1990,1990257,Micronesia,,583,B,3685
1990,1990258,Nauru,,520,C,2815
1990,1990259,Northern Mariana Islands,,580,B,26593
1990,1990260,Palau,,585,B,2801
1990,1990261,Polynesia,25,957,,58419
1990,1990262,American Samoa,,16,B,21283
1990,1990263,Cook Islands,,184,B,2587
1990,1990264,French Polynesia,,258,B,25830
1990,1990265,Niue,,570,B,461
1990,1990266,Samoa,,882,B,3357
1990,1990267,Tokelau,,772,B,270
1990,1990268,Tonga,,776,B,2911
1990,1990269,Tuvalu,,798,C,318
1990,1990270,Wallis and Futuna Islands,,876,B,1402
1995,1995001,WORLD,,900,,160700028
1995,1995002,More developed regions,b,901,,92331345
1995,1995003,Less developed regions,c,902,,68368683
1995,1995004,Least developed countries,d,941,,11708074
1995,1995005,"Less developed regions, excluding least developed countries",,934,,56660609
1995,1995006,High-income countries,e,1503,,86645274
1995,1995007,Middle-income countries,e,1517,,64413423
1995,1995008,Upper-middle-income countries,e,1502,,33181319
1995,1995009,Lower-middle-income countries,e,1501,,31232104
1995,1995010,Low-income countries,e,1500,,9287911
1995,1995011,Sub-Saharan Africa,f,947,,15324570
1995,1995012,AFRICA,,903,,16352814
1995,1995013,Eastern Africa,,910,,5022742
1995,1995014,Burundi,,108,B R,254853
1995,1995015,Comoros,,174,B,13939
1995,1995016,Djibouti,,262,B R,99774
1995,1995017,Eritrea,,232,I,12400
1995,1995018,Ethiopia,,231,B R,806904
1995,1995019,Kenya,,404,B R,618745
1995,1995020,Madagascar,,450,C,21177
1995,1995021,Malawi,,454,B R,241624
1995,1995022,Mauritius,1,480,C,7493
1995,1995023,Mayotte,,175,B,26316
1995,1995024,Mozambique,,508,B R,168256
1995,1995025,Réunion,,638,B,77159
1995,1995026,Rwanda,,646,B R,233200
1995,1995027,Seychelles,,690,B,5148
1995,1995028,Somalia,,706,I R,19527
1995,1995029,South Sudan,,728,B R,..
1995,1995030,Uganda,,800,B R,634620
1995,1995031,Tanzania,2,834,B R,1106043
1995,1995032,Zambia,,894,B R,244338
1995,1995033,Zimbabwe,,716,B R,431226
1995,1995034,Middle Africa,,911,,2646108
1995,1995035,Angola,,24,B R,39813
1995,1995036,Cameroon,,120,B C,246864
1995,1995037,Central African Republic,,140,C,99712
1995,1995038,Chad,,148,B R,89584
1995,1995039,Republic of the Congo,,178,B,191635
1995,1995040,Democratic Republic of the Congo,,180,B R,1816963
1995,1995041,Equatorial Guinea,,226,C,3629
